date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:10	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2012:15:09%20GMT	https://stenungsundsbi.se/robots.txt		(from )
13:15:10	117012/117012	---M-Z	200	added ('OK')	text/html	etag:%221c914-5d54f526dea4a-gzip%22	https://stenungsundsbi.se/	/home/alex/websites/bin/stenungsundsbi.se/index.html	(from )
13:15:12	30465/30465	---MC-	200	added ('OK')	image/jpeg	etag:%2210ae5-5bca842ba6bc4%22	https://stenungsundsbi.se/____impro/1/onewebmedia/SBF-LOGGA.jpg?etag=%2210ae5-603ffaef%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/SBF-LOGGAc59f.jpg	(from https://stenungsundsbi.se/)
13:15:12	199246/199246	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2013:53:25%20GMT	https://stenungsundsbi.se/onewebstatic/c9df0990a7.css	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/c9df0990a7.css	(from https://stenungsundsbi.se/)
13:15:13	787/787	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/f11c6ee0bf.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/f11c6ee0bf.js	(from https://stenungsundsbi.se/)
13:15:14	6277/6277	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2020:00:53%20GMT	https://stenungsundsbi.se/onewebstatic/0a0ab38859.css	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/0a0ab38859.css	(from https://stenungsundsbi.se/)
13:15:15	336/336	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2020:00:53%20GMT	https://stenungsundsbi.se/onewebstatic/6e481eb9b8.css	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/6e481eb9b8.css	(from https://stenungsundsbi.se/)
13:15:16	125/125	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/a2541772a6.css	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/a2541772a6.css	(from https://stenungsundsbi.se/)
13:15:18	2934/2934	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Feb%202022%2012:15:17%20GMT	https://fonts.googleapis.com/css?family=Open%20Sans%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%2Citalic%2Cregular&subset=all	/home/alex/websites/bin/fonts.googleapis.com/css9058.css	(from https://stenungsundsbi.se/)
13:15:19	1764/1764	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Feb%202022%2012:15:18%20GMT	https://fonts.googleapis.com/css?family=Rokkitt%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%2Citalic%2Cregular&subset=all	/home/alex/websites/bin/fonts.googleapis.com/css61a4.css	(from https://stenungsundsbi.se/)
13:15:19	632/632	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:55%20GMT	https://stenungsundsbi.se/onewebstatic/88a01bf330.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/88a01bf330.js	(from https://stenungsundsbi.se/)
13:15:20	88483/88483	---M-Z	200	added ('OK')	text/html	etag:%22159a3-5d54ec8f517e9-gzip%22	https://stenungsundsbi.se/our%2520work.html	/home/alex/websites/bin/stenungsundsbi.se/our%20work.html	(from https://stenungsundsbi.se/)
13:15:21	94645/94645	---M-Z	200	added ('OK')	text/html	etag:%22171b5-5d54ec88969ad-gzip%22	https://stenungsundsbi.se/about/services.html	/home/alex/websites/bin/stenungsundsbi.se/about/services.html	(from https://stenungsundsbi.se/)
13:15:22	76677/76677	---M-Z	200	added ('OK')	text/html	etag:%2212b85-5d54ec7849425-gzip%22	https://stenungsundsbi.se/about/	/home/alex/websites/bin/stenungsundsbi.se/about/index.html	(from https://stenungsundsbi.se/)
13:15:23	117466/117466	---M-Z	200	added ('OK')	text/html	etag:%221cada-5d54ec80f096a-gzip%22	https://stenungsundsbi.se/contact.html	/home/alex/websites/bin/stenungsundsbi.se/contact.html	(from https://stenungsundsbi.se/)
13:15:24	99572/99572	---M-Z	200	added ('OK')	text/html	etag:%22184f4-5d54ec80f1cec-gzip%22	https://stenungsundsbi.se/blandat.html	/home/alex/websites/bin/stenungsundsbi.se/blandat.html	(from https://stenungsundsbi.se/)
13:15:25	89290/89290	---M-Z	200	added ('OK')	text/html	etag:%2215cca-5d54ec80ef9d3-gzip%22	https://stenungsundsbi.se/l%c3%a4sv%c3%a4rt.html	/home/alex/websites/bin/stenungsundsbi.se/l%c3%a4sv%c3%a4rt.html	(from https://stenungsundsbi.se/)
13:15:26	79979/79979	---M-Z	200	added ('OK')	text/html	etag:%221386b-5d54ec88965b1-gzip%22	https://stenungsundsbi.se/filmer.html	/home/alex/websites/bin/stenungsundsbi.se/filmer.html	(from https://stenungsundsbi.se/)
13:15:27	76451/76451	---M-Z	200	added ('OK')	text/html	etag:%2212aa3-5d54ec78474e6-gzip%22	https://stenungsundsbi.se/aktiviteter.html	/home/alex/websites/bin/stenungsundsbi.se/aktiviteter.html	(from https://stenungsundsbi.se/)
13:15:28	86002/86002	---M-Z	200	added ('OK')	text/html	etag:%2214ff2-5d54ec6ede22a-gzip%22	https://stenungsundsbi.se/drottningodling.html	/home/alex/websites/bin/stenungsundsbi.se/drottningodling.html	(from https://stenungsundsbi.se/)
13:15:29	75494/75494	---M-Z	200	added ('OK')	text/html	etag:%22126e6-5d54ec889468e-gzip%22	https://stenungsundsbi.se/l-nkar.html	/home/alex/websites/bin/stenungsundsbi.se/l-nkar.html	(from https://stenungsundsbi.se/)
13:15:30	73052/73052	---M-Z	200	added ('OK')	text/html	etag:%2211d5c-5d54ec8f517fd-gzip%22	https://stenungsundsbi.se/blanketter.html	/home/alex/websites/bin/stenungsundsbi.se/blanketter.html	(from https://stenungsundsbi.se/)
13:15:31	91683/91683	---M-Z	200	added ('OK')	text/html	etag:%2216623-5d54ec6ede622-gzip%22	https://stenungsundsbi.se/bilder.html	/home/alex/websites/bin/stenungsundsbi.se/bilder.html	(from https://stenungsundsbi.se/)
13:15:32	200/200	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/71d506b8b2.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/71d506b8b2.png	(from https://stenungsundsbi.se/)
13:15:33	200/200	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/a1ad1e897a.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/a1ad1e897a.png	(from https://stenungsundsbi.se/)
13:15:34	193/193	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/789c287871.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/789c287871.png	(from https://stenungsundsbi.se/)
13:15:35	13153/13153	---M--	200	added ('OK')	image/jpeg	etag:%223b2e02-5cbba68c0373d%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20210911_101957.jpg?etag=W%2F%223b2e02-613cd3ed%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=218%2B164&extract=0%2B14%2B218%2B142&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20210911_1019575481.jpg	(from https://stenungsundsbi.se/)
13:15:36	64437/64437	---M--	200	added ('OK')	image/jpeg	etag:%2247fd78-5a71b09eb70c4%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20200526_192804.jpg?etag=%2247fd78-5ed6674f%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=546%2B410&extract=0%2B0%2B546%2B352&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20200526_1928048264.jpg	(from https://stenungsundsbi.se/)
13:15:37	36675/36675	---M--	200	added ('OK')	image/jpeg	etag:%2231670-580c53b64e3cb%22	https://stenungsundsbi.se/____impro/1/onewebmedia/samling-1.jpg?etag=%2231670-5c533ef4%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=480%2B360&extract=0%2B0%2B300%2B360&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/samling-198fd.jpg	(from https://stenungsundsbi.se/)
13:15:38	62528/62528	---M--	200	added ('OK')	image/jpeg	etag:%2261bba3-589438fb748c9%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20190511_102530%5B1%5D.jpg?etag=%2261bba3-5ce1be26%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=585%2B329&extract=0%2B0%2B546%2B329&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20190511_102530[1]7604.jpg	(from https://stenungsundsbi.se/)
13:15:39	19727/19727	---M--	200	added ('OK')	image/jpeg	etag:%2231736-5815da044488e%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT28191.jpg?etag=%2231736-5c5d3bb4%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=267%2B200&extract=0%2B0%2B267%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT28191a0a8.jpg	(from https://stenungsundsbi.se/)
13:15:40	14160/14160	---M--	200	added ('OK')	image/jpeg	etag:%22239a7-5815d996f1ea1%22	https://stenungsundsbi.se/____impro/1/onewebmedia/DSCN1393.JPG?etag=%22239a7-5c5d3b41%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=267%2B200&extract=0%2B0%2B267%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/DSCN13937edc.jpg	(from https://stenungsundsbi.se/)
13:15:42	61813/61813	---M--	200	added ('OK')	image/jpeg	etag:%222c08d4-580c653842bf3%22	https://stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%20408.JPG?etag=%222c08d4-5c535150%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=480%2B360&extract=0%2B0%2B460%2B360&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%204087048.jpg	(from https://stenungsundsbi.se/)
13:15:43	625462/625462	---M--	200	added ('OK')	image/jpeg	etag:%223e994a-580c5a7334677%22	https://stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%20403.JPG?etag=%223e994a-5c534605%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=3264%2B2448&extract=0%2B0%2B3263%2B624&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Astrids%20kamera%204030326.jpg	(from https://stenungsundsbi.se/)
13:15:43	12954/12954	---M--	200	added ('OK')	image/jpeg	etag:%2225c76-580c666f3134e%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT4659.JPG?etag=%2225c76-5c535296%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=220%2B165&extract=0%2B0%2B220%2B160&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT46597f76.jpg	(from https://stenungsundsbi.se/)
13:15:44	9712/9712	---M--	200	added ('OK')	image/jpeg	etag:%22192d5-580c668d10e47%22	https://stenungsundsbi.se/____impro/1/onewebmedia/biblpmma-1.jpg?etag=%22192d5-5c5352b5%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=220%2B165&extract=0%2B0%2B220%2B160&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/biblpmma-151a9.jpg	(from https://stenungsundsbi.se/)
13:15:45	2249/2249	---M--	200	added ('OK')	image/jpeg	etag:%221283-581154291b180%22	https://stenungsundsbi.se/____impro/1/onewebmedia/lilla-komperod-202.jpg?etag=%221283-5c587d9a%22&sourceContentType=image%2Fjpeg&quality=85&withoutEnlargement&resize=80	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/lilla-komperod-202917c.jpg	(from https://stenungsundsbi.se/)
13:15:46	4263/4263	---M--	200	added ('OK')	image/jpeg	etag:%221283-581154291b180%22	https://stenungsundsbi.se/____impro/1/onewebmedia/lilla-komperod-202.jpg?etag=%221283-5c587d9a%22&sourceContentType=image%2Fjpeg&quality=80	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/lilla-komperod-202d51f.jpg	(from https://stenungsundsbi.se/)
13:15:49	557481/557481	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/91aae35b38.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/91aae35b38.png	(from https://stenungsundsbi.se/)
13:15:50	557955/557955	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/b4987ce854.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/b4987ce854.png	(from https://stenungsundsbi.se/)
13:15:50	137393/137393	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/4e984c1514.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/4e984c1514.js	(from https://stenungsundsbi.se/)
13:15:51	557747/557747	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Feb%202019%2015:37:43%20GMT	https://stenungsundsbi.se/onewebstatic/c9634d4849.png	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/c9634d4849.png	(from https://stenungsundsbi.se/)
13:15:51	6998/6998	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/4a7b82d94e.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/4a7b82d94e.js	(from https://stenungsundsbi.se/)
13:15:52	2929/2929	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Jan%202022%2013:53:25%20GMT	https://stenungsundsbi.se/onewebstatic/58d5ff15c2.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/58d5ff15c2.js	(from https://stenungsundsbi.se/)
13:15:53	14675/14675	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Jan%202022%2013:53:25%20GMT	https://stenungsundsbi.se/onewebstatic/5bae331f1b.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/5bae331f1b.js	(from https://stenungsundsbi.se/)
13:15:54	20231/20231	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/524117bbb4.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/524117bbb4.js	(from https://stenungsundsbi.se/)
13:15:55	1194/1194	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:55%20GMT	https://stenungsundsbi.se/onewebstatic/521d5096cc.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/521d5096cc.js	(from https://stenungsundsbi.se/)
13:15:56	1900/1900	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/8c6d441134.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/8c6d441134.js	(from https://stenungsundsbi.se/)
13:15:57	999/999	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:16:01%20GMT	https://stenungsundsbi.se/onewebstatic/e92f1927f3.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/e92f1927f3.js	(from https://stenungsundsbi.se/)
13:15:58	3424/3424	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Jan%202022%2013:53:25%20GMT	https://stenungsundsbi.se/onewebstatic/3f50d9398a.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/3f50d9398a.js	(from https://stenungsundsbi.se/)
13:15:59	986/986	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/61e0cee1d0.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/61e0cee1d0.js	(from https://stenungsundsbi.se/)
13:16:00	2337/2337	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:55%20GMT	https://stenungsundsbi.se/onewebstatic/47993b9e19.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/47993b9e19.js	(from https://stenungsundsbi.se/)
13:16:01	11648/11648	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/6ecd36509d.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/6ecd36509d.js	(from https://stenungsundsbi.se/)
13:16:02	461/461	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2011%20Jan%202022%2013:53:25%20GMT	https://stenungsundsbi.se/onewebstatic/f9c75e138f.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/f9c75e138f.js	(from https://stenungsundsbi.se/)
13:16:03	1418/1418	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/ab44028df4.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/ab44028df4.js	(from https://stenungsundsbi.se/)
13:16:04	3396/3396	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2012%20Sep%202021%2020:05:23%20GMT	https://stenungsundsbi.se/onewebstatic/6e1e7f5b18.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/6e1e7f5b18.js	(from https://stenungsundsbi.se/)
13:16:05	182/182	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:54%20GMT	https://stenungsundsbi.se/onewebstatic/b5b36080c8.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/b5b36080c8.js	(from https://stenungsundsbi.se/)
13:16:06	916/916	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Sep%202021%2016:15:55%20GMT	https://stenungsundsbi.se/onewebstatic/537d21386f.js	/home/alex/websites/bin/stenungsundsbi.se/onewebstatic/537d21386f.js	(from https://stenungsundsbi.se/)
13:16:08	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Feb%202022%2012:16:07%20GMT	https://fonts.googleapis.com/robots.txt		(from https://stenungsundsbi.se/)
13:16:09	95933/95933	---MC-	200	added ('OK')	image/jpeg	etag:%22323c5-581103ddea3d2%22	https://stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag.JPG?etag=%22323c5-5c582969%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag12d1.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:10	28879/28879	---MC-	200	added ('OK')	image/jpeg	etag:%22323c5-581103ddea3d2%22	https://stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag.JPG?etag=%22323c5-5c582969%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=330,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/arbetsdag4841.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:12	23955/23955	---MC-	200	added ('OK')	image/jpeg	etag:%221a4f4-58110405751e2%22	https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503.jpg?etag=%221a4f4-5c582992%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=372,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503635e.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:12	87785/87785	---MC-	200	added ('OK')	image/jpeg	etag:%221a4f4-58110405751e2%22	https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0503.jpg?etag=%221a4f4-5c582992%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG05035084.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:14	24050/24050	---MC-	200	added ('OK')	image/jpeg	etag:%224632c-58110434bcd9e%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT1634.JPG?etag=%224632c-5c5829c4%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=330,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT1634fb5f.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:15	21717/21717	---M--	200	added ('OK')	image/jpeg	etag:%2226cc9-5811045656684%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT28071.jpg?etag=%2226cc9-5c5829e7%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=330,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT28071135e.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:16	140728/140728	---MC-	200	added ('OK')	image/jpeg	etag:%224632c-58110434bcd9e%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT1634.JPG?etag=%224632c-5c5829c4%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT16348994.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:17	25175/25175	---M--	200	added ('OK')	image/jpeg	etag:%22107ccc-5811047f918e9%22	https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0712.jpg?etag=%22107ccc-5c582a12%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=372,248	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG07122dcf.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:17	115449/115449	---MC-	200	added ('OK')	image/jpeg	etag:%2226cc9-5811045656684%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT28071.jpg?etag=%2226cc9-5c5829e7%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT280716820.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:19	35567/35567	---MC-	200	added ('OK')	image/jpeg	etag:%228b85-58110a19910f5%22	https://stenungsundsbi.se/____impro/1/onewebmedia/tarta.jpg?etag=%228b85-5c582ff2%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/tarta0855.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:20	22757/22757	---M--	200	added ('OK')	image/jpeg	etag:%22fedb64-58943bb7c6b85%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20190511_102454%5B1%5D_edited1.jpg?etag=%22fedb64-5ce1c104%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=202%2B359&extract=0%2B0%2B196%2B296&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20190511_102454[1]_edited1f3a8.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:22	16935/16935	---MC-	200	added ('OK')	image/jpeg	etag:%22557479-5894376b02d72%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20190427_110410%5B1%5D.jpg?etag=%22557479-5ce1bc82%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=300%2B169&extract=0%2B0%2B300%2B168&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20190427_110410[1]7afb.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:22	907354/907354	---MC-	200	added ('OK')	image/jpeg	etag:%22107ccc-5811047f918e9%22	https://stenungsundsbi.se/____impro/1/onewebmedia/IMAG0712.jpg?etag=%22107ccc-5c582a12%22&sourceContentType=image%2Fjpeg&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/IMAG0712df22.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:22	17084/17084	---M--	200	added ('OK')	image/jpeg	etag:%2276e2a0-58943972e33a8%22	https://stenungsundsbi.se/____impro/1/onewebmedia/20190427_110423%5B1%5D.jpg?etag=%2276e2a0-5ce1bea3%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=300%2B169&extract=9%2B0%2B272%2B169&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/20190427_110423[1]5771.jpg	(from https://stenungsundsbi.se/our%2520work.html)
13:16:24	27290/27290	---M--	200	added ('OK')	image/jpeg	etag:%22f40da-5813a1a88b2be%22	https://stenungsundsbi.se/____impro/1/onewebmedia/PICT4651.JPG?etag=%22f40da-5c5ae7bc%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=450%2B338&extract=0%2B0%2B450%2B300&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/PICT4651d355.jpg	(from https://stenungsundsbi.se/about/)
13:16:26	21031/21031	---MC-	200	added ('OK')	image/jpeg	etag:%223e91c-5813a6b676514%22	https://stenungsundsbi.se/____impro/1/onewebmedia/maskrosor.jpg?etag=W%2F%223e91c-5c5aed09%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=250%2B188&extract=0%2B0%2B250%2B184&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/maskrosora810.jpg	(from https://stenungsundsbi.se/about/)
13:16:28	9074/9074	---MC-	200	added ('OK')	image/jpeg	etag:%22a981-5bca7f4dc5a56%22	https://stenungsundsbi.se/____impro/1/onewebmedia/Bibladet%202021.JPG?etag=%22a981-603ff5d5%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=146%2B206&extract=0%2B0%2B146%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/Bibladet%202021596d.jpg	(from https://stenungsundsbi.se/about/services.html)
13:16:28	1643175/1643175	---M--	200	added ('OK')	application/pdf	etag:%221912a7-5bca7787ac200%22	https://stenungsundsbi.se/onewebmedia/Bibladet%202021.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202021.pdf	(from https://stenungsundsbi.se/about/services.html)
13:16:31	858731/858731	---M--	200	added ('OK')	application/pdf	etag:%22d1a6b-5814add248344%22	https://stenungsundsbi.se/onewebmedia/blad2012.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/blad2012.pdf	(from https://stenungsundsbi.se/about/services.html)
13:16:31	871322/871322	---M--	200	added ('OK')	application/pdf	etag:%22d4b9a-5814ad6c16261%22	https://stenungsundsbi.se/onewebmedia/Bibladet%202015-2.pdf	/home/alex/websites/bin/stenungsundsbi.se/onewebmedia/Bibladet%202015-2.pdf	(from https://stenungsundsbi.se/about/services.html)
13:16:32	9207/9207	---MC-	200	added ('OK')	image/jpeg	etag:%221693d-5813c71779813%22	https://stenungsundsbi.se/____impro/1/onewebmedia/bi2012.jpg?etag=%221693d-5c5b0efd%22&sourceContentType=image%2Fjpeg&ignoreAspectRatio&resize=143%2B202&extract=0%2B0%2B143%2B200&quality=85	/home/alex/websites/bin/stenungsundsbi.se/____impro/1/onewebmedia/bi20122f1b.jpg	(from https://stenungsundsbi.se/about/services.html)
